Tipo,Descripcion_alimento,Type_EN,Food_description_EN,Nombre_cientifico,Porcion_comestible_pct,Energia_kJ,Energia_kcal,Humedad_g,Cenizas_g,Extracto_etereo_g,AGS_g,AGMI_g,AGPI_g,Colesterol_mg,Proteina_bruta_g,Hidratos_carbono_g,Azucares_g,Fibra_bruta_g,Fibra_DT_g,Fibra_D_Insol_g,Ca_mg,P_mg,Fe_mg,Na_mg,K_mg,Mg_mg,Cu_mg,Zn_mg,Mn_mg,Se_mg,Li_mg,VitA_UI,VitA_ug_RAE,Carotenos_mg,Bcarotenos_mg,VitB1_mg,VitB2_mg,Niacina_mg,Ac_ascorbico_mg,VitB6_mg,VitB12_ug,Acido_folico_ug,Folato_ug_DFE,VitD_ug
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Garbano emia,LEGUMES AND BY-PRODUCTS,"Chick Pea, seed",Cicer arietinm L,1.00,1469.00,351.00,8.40,3.05,5.50,0.63,1.36,2.69,0.00,23.03,56.95,*,5.25,17.40,11.10,105.00,401.00,8.85,24.00,875.00,115.00,0.45,2.40,2.70,0.05,*,*,3.00,0.18,0.07,0.75,0.17,1.54,1.30,0.54,0.00,0.00,557.00,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Girasol Maíz de Texas,LEGUMES AND BY-PRODUCTS,Snoer Tea Corn,Helianthus annus L.,0.75,2253.00,538.00,6.70,3.70,51.30,4.46,18.53,23.14,0.00,25.37,5.21,2.62,7.70,8.60,3.80,117.00,671.00,8.10,9.00,645.00,325.00,1.80,5.00,1.95,0.05,*,6.75,*,*,0.00,0.15,9.40,3.33,1.40,1.35,0.00,0.00,227.00,0.00
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Guaje Blanco, huajillo",LEGUMES AND BY-PRODUCTS,"Lead Tree White, huajillo",Lecaena macroa ent macro- phylla,1.00,1218.00,291.00,7.50,5.10,2.30,*,*,*,*,33.80,38.00,*,13.30,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Gae arina inmara,LEGUMES AND BY-PRODUCTS,Lea Tree reen or,Leucaena sp,1.00,1116.00,267.00,23.00,6.10,4.40,*,*,*,*,27.70,32.90,*,5.90,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Gae arina mara,LEGUMES AND BY-PRODUCTS,Lea Tree rie or,Leucaena sp,1.00,1362.00,325.00,6.50,6.00,6.00,*,*,*,*,34.70,38.10,*,8.70,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Gae Morao emia frescas,LEGUMES AND BY-PRODUCTS,"Lead Tree Purple, fresh deed",Leucaena sp,1.00,354.00,84.50,75.35,1.40,0.53,*,*,*,*,8.22,12.70,*,1.81,*,*,106.00,156.00,3.16,*,*,*,*,*,*,*,*,1.89,*,*,0.19,0.23,1.57,23.90,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Guaje Rojo, harina descascarillada",LEGUMES AND BY-PRODUCTS,"Lead Tree Red, dehulled or",Leucaena esculenta (Moc et Sessé ex A. C ent ecenta,1.00,1401.00,335.00,10.00,5.40,9.10,*,*,*,*,34.80,34.00,*,6.70,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1.47,*,0.36,0.17,3.88,20.00,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Guaje Rojo, harina integral",LEGUMES AND BY-PRODUCTS,Lea Tree Re oe or,Leucaena esculenta (Moc et Sessé ex A. C ent ecenta,1.00,1350.00,323.00,8.20,4.50,5.40,*,*,*,*,28.60,43.80,*,9.50,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Gae emia mara,LEGUMES AND BY-PRODUCTS,"Lead Tree, ripe seed",Leucaena leucocephala,1.00,1343.00,321.00,8.74,4.67,4.40,*,*,*,*,26.00,44.83,*,*,51.30,*,322.00,411.00,15.20,*,*,*,*,*,*,*,*,4.79,*,*,2.25,0.21,4.00,31.30,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Gae Vere emia frescas,LEGUMES AND BY-PRODUCTS,"Lead Tree Green, fresh seed",Lecaena ecoceaa Lam e it abrata Roe S rate,1.00,395.00,94.50,72.70,1.33,0.75,*,*,*,*,8.41,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2.73,*,*,0.16,0.89,1.81,44.00,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Gamci amci emia cocia,LEGUMES AND BY-PRODUCTS,Mania Tamarin cooked seed,iteceobim ce Rob ent,1.00,889.00,212.00,50.00,1.76,8.26,*,*,*,*,10.00,26.73,*,3.25,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Gamci amci emia totaa,LEGUMES AND BY-PRODUCTS,Mania Tamarin toasted seed,iteceobim ce Rob ent,1.00,1344.00,393.00,5.75,2.70,13.62,*,*,*,*,20.87,50.88,*,6.19,*,*,22.13,*,4.08,*,*,*,*,*,*,*,*,*,*,*,*,1.00,0.08,2.34,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Haba, enchilada",LEGUMES AND BY-PRODUCTS,"Faba Bean, spiced it cie",,1.00,1914.50,451.70,3.20,3.90,20.90,*,*,*,*,21.60,44.30,*,6.10,*,*,97.68,238.40,6.12,773.61,920.31,111.98,0.56,3.94,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Haba, harina",LEGUMES AND BY-PRODUCTS,aba ean or,Vicia faba L.,1.00,1456.00,348.00,7.30,3.50,1.90,0.22,0.26,0.50,0.00,27.60,58.05,*,1.65,*,*,78.00,225.00,18.20,13.00,1062.00,192.00,*,3.14,*,*,*,*,5.00,*,0.03,0.45,0.29,2.03,0.00,0.37,0.00,423.00,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Haba, seca",LEGUMES AND BY-PRODUCTS,"Faba Bean, dried",Vicia faba L.,0.80,1427.00,341.00,8.90,3.20,1.53,0.25,0.30,0.63,0.00,22.60,58.29,5.70,*,25.00,*,49.00,439.00,7.30,13.00,1062.00,192.00,*,3.14,*,0.04,*,29.97,3.00,*,0.08,0.91,0.31,2.30,4.90,0.37,0.00,0.00,423.00,0.00
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Ibe emia,LEGUMES AND BY-PRODUCTS,"Sieva Bean, seed",Phaseolus lunatus L,1.00,1309.00,313.00,12.00,3.00,0.66,0.16,0.06,0.31,0.00,19.40,59.09,8.50,5.85,19.00,*,84.00,223.00,5.56,18.00,1724.00,224.00,0.74,2.83,1.67,0.01,*,0.00,0.00,*,0.00,0.29,0.15,1.54,0.00,0.51,*,0.00,395.00,0.00
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Lentejas, con verduras deshidratadas sabor a cerdo",LEGUMES AND BY-PRODUCTS,Lenti it eetabe or aor,,,1730.47,413.99,8.10,4.53,0.78,*,*,*,*,24.49,60.52,*,1.58,*,*,210.63,403.37,6.59,848.46,923.69,180.05,0.55,5.59,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Lentejas, con verduras deshidratadas sabor a pollo",LEGUMES AND BY-PRODUCTS,Lenti it eetabe cicen aor,,,1701.3,407.01,9.5,5.53,0.14,*,*,*,*,21.39,60.9,*,2.54,*,*,363.41,363.93,41.99,247.55,1066.95,199.28,4.65,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Lenteja, harina",LEGUMES AND BY-PRODUCTS,Lenti or,Lens culinaris Medic,1.00,1376.00,329.00,8.90,4.50,1.64,*,*,*,*,24.60,56.53,*,3.83,*,*,55.00,245.00,20.10,*,*,*,*,*,*,*,*,*,*,*,0.05,0.68,0.21,2.47,0.00,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Lenteja, puré",LEGUMES AND BY-PRODUCTS,"Lentils, purée",,1.00,456.00,109.00,72.30,2.00,2.90,*,*,*,*,5.60,16.00,*,1.20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Lentea emia,LEGUMES AND BY-PRODUCTS,"Lentils, seed",Lens culinaris Medic,1.00,1376.00,329.00,9.83,3.33,1.64,0.16,0.19,0.52,0.00,22.73,56.53,2.03,3.83,30.50,*,74.33,318.67,7.47,6.00,955.00,122.00,0.52,4.78,1.33,0.05,*,39.00,2.00,0.00,0.07,0.69,0.19,1.98,5.35,0.54,0.00,0.00,479.00,0.00
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Mezquite, entero",LEGUMES AND BY-PRODUCTS,Meite oe,Prosopis laevigata,,1148.00,274.00,5.15,4.45,2.15,*,*,*,*,10.05,54.40,*,23.80,*,*,95.90,57.00,5.80,*,*,*,*,*,*,*,*,0.16,*,*,0.15,0.08,0.95,1.41,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Meite amenra,LEGUMES AND BY-PRODUCTS,Meite amon,Prosopis spp,,1314.00,312.00,8.30,7.60,6.30,*,*,*,*,37.20,32.10,*,8.50,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Mezquite, cascarilla",LEGUMES AND BY-PRODUCTS,"Mesquite, hull",Prosopis spp,,1004.00,240.00,5.40,4.20,1.80,*,*,*,*,11.30,45.70,*,31.60,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Mezquite, pericarpio",LEGUMES AND BY-PRODUCTS,"Mesquite, pericarp",Prosopis spp,1.00,1097.00,262.00,10.10,6.40,2.70,*,*,*,*,10.50,49.90,*,20.40,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Mezquite, sin vaina",LEGUMES AND BY-PRODUCTS,"Mesquite, podless",Prosopis laevigata,1.00,975.00,233.00,4.30,3.30,1.90,*,*,*,*,12.30,42.80,*,35.40,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Mezquite, tostado",LEGUMES AND BY-PRODUCTS,"Mesquite, toasted",Prosopis laevigata,1.00,820.00,196.00,3.50,4.50,1.50,*,*,*,*,12.50,34.40,*,43.60,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Mezquite, vaina entera",LEGUMES AND BY-PRODUCTS,Meite oe o,Prosopis spp,,1114.00,266.00,9.00,5.50,3.20,*,*,*,*,14.70,46.30,*,21.30,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Ne e Macaamia tostada con sal,LEGUMES AND BY-PRODUCTS,"Nuts, dried roasted and ate Macaamia",,1.00,2971.00,710.00,1.35,1.75,66.45,11.95,59.28,1.50,0.00,9.35,27.50,4.14,2.45,8.00,*,70.00,198.00,2.65,34.82,363.00,118.00,*,1.29,*,*,*,0.00,0.00,*,*,0.71,0.09,2.27,0.70,0.36,0.00,*,10.00,0.00
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Parota,LEGUMES AND BY-PRODUCTS,Ear Tree,Enteroobim ccocarm Grieb,,1569.00,375.00,1.45,3.25,3.90,*,*,*,*,36.90,52.67,*,2.03,*,*,30.00,547.00,4.60,*,*,*,*,*,*,*,*,9.10,*,*,0.04,0.23,1.77,6.65,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Parota, harina cruda integral",LEGUMES AND BY-PRODUCTS,Ear Tree ra ee or,Enteroobim ccocarm,1.00,1427.00,341.00,7.27,3.15,3.28,*,*,*,*,37.48,45.15,*,3.69,*,*,138.00,282.00,7.20,*,*,*,*,*,*,*,*,*,*,*,*,4.16,0.77,10.75,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa oa aiao comercia,LEGUMES AND BY-PRODUCTS,"Soybean, protein isolate, commercia",,1.00,1376.00,329.00,5.98,3.10,0.15,0.42,0.65,1.65,0.00,82.70,8.20,0.00,0.30,5.60,*,178.00,776.00,14.50,1005.00,81.00,39.00,*,4.03,*,*,*,0.00,0.00,*,*,0.18,0.10,1.44,0.00,1.00,0.00,*,176.00,0.00
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa oarro,LEGUMES AND BY-PRODUCTS,"Soybean, soyarroz",,,1677.16,401.24,8.70,3.25,0.53,*,*,*,*,25.67,61.05,7.96,0.80,*,*,*,*,*,1576.59,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa con maní ito ara conmo ortificao con it minerae,LEGUMES AND BY-PRODUCTS,Sobean it eant rea or conmtion ortifie it itamin an minera,,,2075.26,496.00,2.70,5.00,31.62,6.00,23.24,15.19,5.22,19.99,39.78,10.73,0.91,*,*,680.63,963.38,18.67,54.61,721.84,79.26,0.97,1.66,0.02,0.00,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa con arina e maí ara rearar atoe con minerae aminoeao,LEGUMES AND BY-PRODUCTS,Sobean it cornmea to mae re it minera aminoeae,,1.00,1856.25,444.08,5.50,4.82,5.65,*,*,*,*,22.03,59.08,9.16,2.92,24.65,*,600.00,530.00,22.00,25.08,1030.00,220.00,0.61,23.00,1.60,0.01,*,5900.00,1770.00,*,*,1.93,0.61,27.00,*,0.69,1.50,187.00,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa cerea instantáneo,LEGUMES AND BY-PRODUCTS,"Soybean, instant cereal",,1.00,1607.00,378.00,3.50,2.91,2.20,*,*,*,*,9.10,85.70,*,0.20,*,*,196.61,*,6.61,213.19,784.93,139.14,0.00,2.15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa concentrao,LEGUMES AND BY-PRODUCTS,"Soybean, concentrate",,1.00,1410.00,337.00,4.80,4.80,3.50,*,*,*,*,64.00,20.30,*,2.60,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa emia,LEGUMES AND BY-PRODUCTS,"Soybean, seed",Gcine ma,1.00,1586.00,3.79,7.33,4.67,16.57,2.88,4.40,11.26,0.00,41.57,23.67,7.33,7.55,9.30,*,259.00,704.00,13.65,2.00,1797.00,280.00,1.20,4.89,2.70,0.02,*,22.00,1.00,0.38,0.00,1.00,0.26,2.37,6.00,0.38,0.00,0.00,375.00,0.00
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa rio ariea júpiter,LEGUMES AND BY-PRODUCTS,"Soybean, bean jupiter variety",Gcine ma,1.00,1753.00,419.00,6.70,4.80,22.90,*,*,*,*,36.70,24.70,*,4.20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa aeta proteinada,LEGUMES AND BY-PRODUCTS,"Soybean, protein-enriched cookies",,1.00,*,*,4.50,1.77,21.30,*,*,*,*,9.80,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa oa aeta ntritia,LEGUMES AND BY-PRODUCTS,"Soybean, nutritius cookies",,,2057.18,492.15,2.80,2.62,14.53,*,*,*,*,18.00,60.43,*,1.62,*,*,*,*,*,331.95,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa arina,LEGUMES AND BY-PRODUCTS,Sobean or,Gcine ma,1.00,1761.00,421.00,3.83,4.54,20.40,2.99,4.56,11.66,0.00,40.66,26.87,7.50,3.46,9.60,*,206.00,494.00,6.37,13.00,2515.00,429.00,*,3.92,4.00,*,*,120.00,6.00,0.00,0.08,0.58,1.16,4.32,0.00,0.46,0.00,190.00,345.00,0.00
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,"Soa Soa arina desgrasada, cruda",LEGUMES AND BY-PRODUCTS,Sobean nonat or ra,Gcine ma,1.00,1380.00,3.27,6.46,6.49,1.81,0.97,1.48,3.78,0.00,47.43,34.37,13.40,3.73,10.20,*,187.00,537.00,8.34,18.00,2570.00,299.00,*,1.18,*,*,*,0.00,*,*,0.01,0.70,0.10,1.57,0.00,0.52,0.00,0.00,410.00,0.00
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa arina intera,LEGUMES AND BY-PRODUCTS,Sobean at or,,1.00,1852.00,443.00,3.13,4.53,24.50,*,*,*,*,41.25,20.05,*,2.30,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa intantnea sabor vainilla,LEGUMES AND BY-PRODUCTS,Sobean aniaaore instant,,1.00,1707.00,399.00,2.54,3.60,3.50,*,*,*,*,19.92,62.09,27.05,1.28,*,*,115.37,*,2.81,476.95,790.28,122.99,0.00,3.21,*,*,*,0.00,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa ece,LEGUMES AND BY-PRODUCTS,Sobean o mi,,1.00,2072.70,489.30,3.00,8.80,27.30,*,*,*,*,23.50,37.40,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa ece ia,LEGUMES AND BY-PRODUCTS,Sobean mi,,1.00,284.00,68.00,87.70,0.70,5.20,0.21,0.40,0.96,0.00,2.90,3.50,3.99,*,0.60,*,25.00,52.00,0.64,51.00,118.00,25.00,0.10,0.12,0.20,*,*,3.00,0.00,*,*,0.06,0.07,0.51,0.00,0.08,0.00,0.00,18.00,0.00
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa ece en oo,LEGUMES AND BY-PRODUCTS,Sobean mi,,1.00,1376.00,329.00,6.60,6.20,1.10,*,*,*,*,31.50,51.70,*,2.90,*,*,597.00,717.00,10.70,*,*,*,*,*,*,*,*,*,10.00,*,*,1.17,1.67,5.76,53.00,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa an Oara remanente e a rearacin e a ece e oa,LEGUMES AND BY-PRODUCTS,"Soybean, Okara bread",,,1507.54,360.66,31.2,0.48,10.34,*,*,*,*,5.32,47.61,0.00,5.05,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa otre a,LEGUMES AND BY-PRODUCTS,Sobean eert,,1.00,*,*,35.30,1.70,3.60,*,*,*,*,4.70,54.10,*,0.60,*,*,124.64,*,2.62,233.99,185.30,23.65,0.32,1.51,*,*,*,0.00,*,*,*,0.03,0.00,*,0.00,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa roteína,LEGUMES AND BY-PRODUCTS,"Soybean, protein",,1.00,1522.00,361.00,5.00,7.70,5.00,*,*,*,*,47.60,35.65,*,1.90,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa emento aimenticio,LEGUMES AND BY-PRODUCTS,Sobean ietar ement,,,1946.58,465.69,4.80,3.45,4.25,*,*,*,*,39.84,46.80,*,0.86,*,*,*,*,*,873.10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa tetriaa diferentes variedades sabor a carne,LEGUMES AND BY-PRODUCTS,"Soybean, texturized ierent aor",,1.00,1472.00,348.00,6.99,6.70,4.22,*,*,*,*,41.84,38.84,*,1.94,*,*,*,*,*,*,*,*,*,*,*,0.03,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Soa Soa tio carne guten,LEGUMES AND BY-PRODUCTS,Sobean ten in meat,,1.00,852.00,200.00,59.00,3.14,10.91,1.44,1.78,2.02,5.00,20.74,4.15,1.07,0.00,4.90,*,91.45,287.41,3.34,1317.46,126.43,15.93,0.00,1.28,*,*,*,*,*,*,*,2.65,0.24,3.75,4.50,0.30,2.01,*,124.00,0.00
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Ua e Gato arina intera,LEGUMES AND BY-PRODUCTS,Catca oe or,Acacia ritii,1.00,1405.00,336.00,6.40,4.00,5.00,*,*,*,*,18.70,54.00,*,*,13.97,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
SEMILLAS DE LEGUMINOSAS Y DERIVADOS,Ua e Gato arina sin testas,LEGUMES AND BY-PRODUCTS,Catca or itot ea,Acacia ritii,1.00,1577.00,377.00,9.20,3.40,5.90,*,*,*,*,20.20,60.90,*,*,2.94,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OTRAS SEMILLAS,"Aceituna, fruto",MISCELLANEOUS SEEDS,"Olive, fruit",Olea europea L.,0.80,481.00,115.00,79.99,5.80,10.68,1.42,7.89,0.94,0.00,0.84,6.26,0.00,1.20,3.20,2.11,88.00,3.00,1.90,735.00,8.00,4.00,0.27,0.22,0.06,*,*,4.03,20.00,0.30,0.28,0.00,0.00,0.04,0.90,0.00,*,*,0.00,0.00
OTRAS SEMILLAS,Aonoí araiao,MISCELLANEOUS SEEDS,Seame ee araiao carameie can,,1.00,2314.90,547.00,1.20,3.80,39.40,*,*,*,*,16.40,31.70,*,7.45,*,*,*,*,*,0.00,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OTRAS SEMILLAS,"Ajonjolí, grano",MISCELLANEOUS SEEDS,Seame ee,Seamm inicm L/ Seamm orientae L,1.00,2262.00,540.00,4.28,5.04,50.48,6.96,18.76,21.77,0.00,21.32,12.11,0.30,7.86,11.80,*,1038.00,627.00,9.24,11.00,468.00,351.00,*,7.75,*,0.04,*,9.00,0.00,*,*,1.25,0.25,4.99,0.00,0.79,0.00,*,97.00,0.00
OTRAS SEMILLAS,"Ajonjolí, harina",MISCELLANEOUS SEEDS,Seame ee or,Seamm inicm L,1.00,1410.00,337.00,4.60,7.30,2.20,*,*,*,*,44.80,35.20,*,5.90,61.60,61.30,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3.89,*,*,*,*,*
OTRAS SEMILLAS,"Ajonjolí, harina residual",MISCELLANEOUS SEEDS,Seame ee reia or,,1.00,1182.00,282.50,8.90,12.20,5.50,0.20,0.54,630.00,*,32.90,26.50,*,14.00,57.80,53.80,149.00,757.00,14.22,39.00,397.00,338.00,*,10.00,*,*,*,64.00,3.00,*,*,2.52,0.27,12.53,0.00,0.00,0.00,*,29.00,0.00
OTRAS SEMILLAS,Aonoí arina emia descascarrillada,MISCELLANEOUS SEEDS,Seame See or dehulled seed,Seamm inicm L,1.00,1309.00,313.00,7.68,7.66,3.87,*,*,*,*,44.25,31.34,*,5.20,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OTRAS SEMILLAS,"Ajonjolí, pasta residual desgrasada",MISCELLANEOUS SEEDS,Seame See nonat reia mea,Seamm inicm L,,2372.00,567.00,5.00,*,48.00,6.72,18.13,21.04,0.00,16.96,26.04,*,*,*,*,153.00,774.00,14.55,39.00,406.00,346.00,*,10.23,*,*,*,66.00,3.00,*,*,2.57,0.28,12.82,0.00,0.15,0.00,*,30.00,0.00
OTRAS SEMILLAS,"Alelon, grano",MISCELLANEOUS SEEDS,"Alelon, grain",,,1360.00,325.00,10.10,0.30,2.67,*,*,*,*,8.30,67.33,*,11.30,*,*,12.00,224.00,15.80,*,*,*,*,*,*,*,*,*,*,*,0.05,0.38,*,*,*,*,*,*,*,*
OTRAS SEMILLAS,Aon arina,MISCELLANEOUS SEEDS,Cottonee or,Goim erbacem,1.00,1502.00,359.00,2.80,5.30,30.20,1.59,1.13,2.96,0.00,35.30,40.54,*,*,3.00,*,478.00,1597.00,12.66,35.00,1772.00,721.00,*,11.69,*,*,*,434.00,22.00,*,*,2.10,0.40,4.07,2.40,0.77,0.00,*,229.00,0.00
OTRAS SEMILLAS,Amenra,MISCELLANEOUS SEEDS,Amon,rnn ama,0.98,2255.00,539.00,3.54,3.00,42.91,3.73,30.89,12.07,0.00,24.48,23.39,3.89,2.70,12.20,12.40,264.00,484.00,3.72,1.00,705.00,268.00,0.14,3.08,1.90,0.06,*,1.00,0.00,120.00,120.00,0.21,1.01,3.29,0.00,0.14,0.00,0.00,50.00,0.00
OTRAS SEMILLAS,Amenra amenrn,MISCELLANEOUS SEEDS,Amon maabar amon,Terminaia cataa L,0.98,2377.00,568.00,2.70,2.40,54.60,*,*,*,*,27.50,3.85,*,9.20,*,*,497.00,957.00,2.40,*,*,*,*,*,*,*,*,*,*,*,0.00,0.71,0.28,0.74,*,*,*,*,*,*
OTRAS SEMILLAS,Amaranto aería,MISCELLANEOUS SEEDS,Amarant aería,Amarant crent,1.00,1502.00,359.00,8.40,1.60,3.80,*,*,*,*,7.20,76.50,*,2.50,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OTRAS SEMILLAS,Amaranto aeria con cacahuate,MISCELLANEOUS SEEDS,Amarant aería it peanut,,1.00,1737.77,409.35,2.00,1.34,7.87,*,*,*,*,9.48,75.15,9.75,4.16,4.07,*,*,*,*,26.97,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OTRAS SEMILLAS,Amaranto aeria con chocolate,MISCELLANEOUS SEEDS,Amarant aeria it chocolate,,1.00,1738.75,409.62,2.00,1.43,8.54,*,*,*,*,6.23,76.96,10.79,4.84,10.95,*,*,*,*,24.45,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
OTRAS SEMILLAS,Amaranto barra con chocolate,MISCELLANEOUS SEEDS,Amarant ma bar it chocolate,,1.00,2182.20,515.00,1.40,1.40,26.20,*,*,*,*,4.70,64.90,*,1.20,*,*,*,*,*,25.68,*,*,0.00,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
